model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.05,0.3,0.021,0,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00341796875,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.05,0.3,0.021,1,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00146484375,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.05,0.3,0.021,2,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.003662109375,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.05,0.3,0.021,3,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.0029296875,1.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.05,0.3,0.021,4,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00390625,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.05,0.3,0.021,5,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.006591796875,4.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.05,0.3,0.021,6,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.0029296875,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.05,0.3,0.021,7,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00244140625,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.05,0.3,0.021,8,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.003662109375,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.05,0.3,0.021,9,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.002685546875,1.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,0,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00439453125,3.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,1,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00390625,3.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,2,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00244140625,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,3,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.003173828125,1.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,4,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.004638671875,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,5,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00341796875,3.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,6,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.006591796875,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,7,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00439453125,3.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,8,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.005126953125,5.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,9,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00634765625,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.2,0.3,0.024,0,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00439453125,1.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.2,0.3,0.024,1,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.008056640625,3.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.2,0.3,0.024,2,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.0078125,7.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.2,0.3,0.024,3,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.006103515625,3.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.2,0.3,0.024,4,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.003662109375,3.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.2,0.3,0.024,5,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.0048828125,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.01,1.2,0.3,0.024,6,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00830078125,3.0,nan,nan,nan
