model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.003,1.05,0.3,0.021,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0693359375,10.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.003,1.05,0.3,0.021,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.057373046875,7.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.003,1.05,0.3,0.021,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.07275390625,11.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.003,1.05,0.3,0.021,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.072509765625,11.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.003,1.05,0.3,0.021,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0751953125,8.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.003,1.05,0.3,0.021,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.073486328125,12.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.003,1.05,0.3,0.021,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0703125,10.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.003,1.05,0.3,0.021,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.060791015625,6.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.003,1.05,0.3,0.021,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.071044921875,11.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.003,1.05,0.3,0.021,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.07568359375,12.0,nan,nan,nan
