label,config_id,restart_id,restart_seed,t_nuc_cluster,nucleated,p_seed,c_seed,seed_compactness,seed_rg,seed_perimeter,seed_perimeter_to_area,p_ordered_seed,c_ordered_seed,ordered_seed_compactness,ordered_seed_rg,ordered_seed_perimeter,ordered_seed_perimeter_to_area
1.05,0,0,1425291,,0,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,1,1425328,,0,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,2,1425365,,0,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,3,1425402,,0,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,4,1425439,184.8,1,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,5,1425476,,0,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,6,1425513,,0,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,7,1425550,,0,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,8,1425587,,0,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,9,1425624,114.2,1,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,10,1425661,267.6,1,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,11,1425698,,0,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,12,1425735,222.5,1,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,13,1425772,,0,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,14,1425809,265.4,1,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,15,1425846,,0,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,16,1425883,176.3,1,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,17,1425920,163.9,1,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
1.05,0,18,1425957,225.4,1,0.0576171875,7.0,0.5833333333333334,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,,0.0,
